,book_id,5 star,4 star,3 star,2 star,1 star,total_review_count,ratings_count
107897,7749807-apartment-16,711,1225,1635,845,428,642,4844
107927,20753775-station-16,13,51,87,33,11,35,195
107957,23787171-the-undead-day-sixteen,658,239,63,8,3,23,971
107980,15719.Marvel_1602,19122,20905,12479,3039,1300,2080,56845
108010,41021022-days-9-to-16,297,240,119,25,4,38,685
108040,652391.Geo_Herriman_s_Krazy_Ignatz,30,14,1,0,1,3,46
108043,1346465.Super_16,14,9,26,8,4,3,61
108046,2292384.Fearless_Fourteen,32787,34239,20449,3239,605,3647,91319
108076,39070449-little-dancer-aged-fourteen,109,201,253,80,20,114,663
108106,11797365-escape-from-camp-14,21030,27492,13270,2386,1106,5820,65284
108136,568236.A_Distant_Mirror,16602,13056,6276,1964,1588,1786,39486
108166,50896229-kafkaesque,123,213,130,28,2,82,496
108196,25671826-the-14th-colony,3895,5017,2133,364,116,971,11525
108226,2305804.Freckled_and_Fourteen,19,39,29,6,2,17,95
108243,2084522.The_Open_Road,326,441,271,49,14,147,1101
108273,51671282-the-western-front,170,172,42,8,1,51,393
108303,37880607-gandhi,370,167,47,8,4,107,596
108332,2286139.Fourteen,12,10,21,5,1,4,49
108336,12753231-monument-14,7655,8415,5272,1485,597,3117,23424
108366,192043.Flight_714_to_Sydney,3426,3477,2389,489,76,280,9857
108396,23346918-14th-deadly-sin,13876,14735,7509,1200,371,2245,37691
108426,20663771-origins,3880,3776,1621,279,112,683,9668
108456,891025.14_Degrees_Below_Zero,9,15,16,12,5,8,57
108464,15062217-14,11046,14380,7146,1781,552,3972,34905
108494,690528.1421,3760,4560,3562,1374,1019,1178,14275
108524,9315641-to-end-all-wars,3608,3109,1288,321,158,697,8484
108554,40751201-the-cat-who-had-14-tales,1004,1144,1088,220,43,144,3499
108584,1984613.They_Led_the_Way,26,21,34,13,0,18,94
108602,7980565-the-14th-dalai-lama,190,333,234,47,8,148,812
108632,22571777-city-beasts,13,62,43,44,11,32,173
108662,1713092.Dreams_and_Visions,6,16,23,8,2,4,55
108666,6536509-14-cows-for-america,1878,994,413,95,60,678,3440
108696,1556252.Fourteen_Stories,21,35,28,9,1,17,94
108713,18996938-garfield-swallows-his-pride,613,316,221,55,21,27,1226
108740,4638756-fourteen-fourteens,2,4,3,2,0,5,11
108745,32319718-14-hollow-road,145,115,62,13,5,106,340
108775,644172.Everything_s_Eventual,30383,38149,23351,3844,756,3135,96483
108805,25898584-when-the-braves-ruled-the-diamond,30,26,34,8,5,26,103
108831,4936457-the-time-traveller-s-guide-to-medieval-england,7898,8917,4369,1000,520,1643,22704
108861,629054.Still_More_Stories_to_Solve,17,18,7,3,1,6,46
108867,10618465-gotham-city-14-miles,41,32,35,2,6,26,116
108893,188895.Dynamic_Symmetry_Proportional_System_Is_Found_in_Some_Byzantine_and_Russian_Icons_of_the_Fourteenth_to_Sixteenth_Centuries,2,0,0,0,0,0,2
