,book_id,5 star,4 star,3 star,2 star,1 star,total_review_count,ratings_count
36700,249747.Artemis_Fowl,179490,175402,123587,38883,18031,13209,535393
36730,6411108-the-gunslinger,218330,177269,124028,41683,16696,22778,578006
36760,228665.The_Eye_of_the_World,231500,164996,69735,18952,10146,20728,495329
36790,8709527-bloodlines,87964,56447,26780,6460,4023,8772,181674
36820,816167.The_No_1_Ladies_Detective_Agency,74713,91148,64649,18285,7984,12675,256779
36850,123544.The_Bourne_Trilogy,2087,1324,485,75,38,121,4009
36880,13536860-fifty-shades-freed,340660,187361,154528,76707,54616,27293,813872
36910,13570651-bared-to-you,253367,136316,76345,27261,14553,20303,507842
36940,5056084-wings,25313,23825,19413,7325,3550,5269,79426
36970,10967.The_Fiery_Cross,99359,61338,30425,6425,1954,8433,199501
37000,17383994-divergent-series-complete-box-set,23761,12897,6307,1449,504,1417,44918
37030,10988.Drums_of_Autumn,124705,77792,28660,4573,1538,9251,237268
37060,518848.Sabriel,92224,66069,30862,8076,4125,9141,201356
37090,10965.A_Breath_of_Snow_and_Ashes,97775,49698,16497,2693,1019,6565,167682
37120,408854.The_Dark_Tower,85154,49580,20453,5827,2807,6951,163821
37150,121749.Prince_Caspian,136854,153415,98693,17570,3837,10279,410369
37180,62291.A_Storm_of_Swords,474316,205179,50514,7150,2983,23977,740142
37210,71811.Moon_Called,89712,65336,31126,7813,4669,9693,198656
37240,17556225-a-long-time-dead,378,309,158,36,21,150,902
37270,12241224-the-dragonriders-of-pern,14754,9261,4456,858,264,636,29593
37300,17556226-no-more-tears,114,28,15,6,3,45,166
37330,23618187-twisted-reasons,15,11,2,1,1,16,30
37345,18116.His_Dark_Materials,83158,45929,19045,5429,3093,5604,156654
37375,13401584-tollesbury-time-forever,148,157,145,62,55,110,567
37405,17556227-stealing-elgar,116,53,23,5,4,52,201
37435,99298.The_Harry_Potter_Collection_1_4,49358,10430,2985,533,466,322,63772
37465,17211938-fuel-to-the-fire,58,59,41,8,6,45,172
37495,54352941-don-t-close-your-eyes,192,108,70,46,65,60,481
37525,55196363-complicated-moonlight,137,48,22,5,15,13,227
37538,17306293-shift,29771,33902,13797,2306,475,4794,80251
37568,11387535-artemis-fowl-collection,2007,1152,337,46,39,140,3581
37598,17410218-alloria,50,22,11,2,1,43,86
37628,37818.James_Herriot,1201,467,122,3,2,139,1795
37658,36381037-cinder,383588,287690,131087,36333,21527,65149,860225
37688,8755785-city-of-heavenly-fire,212032,97048,37761,9130,3902,26981,359873
37718,113436.Eragon,650990,501397,334464,116610,63748,25437,1667209
37748,28194.Inkheart,142875,135089,91331,28166,10777,13500,408238
37778,13023.Alice_in_Wonderland,156422,122589,77437,20291,8800,5469,385539
37808,13642.A_Wizard_of_Earthsea,108872,103270,58269,15081,5838,13591,291330
37838,6294.Howl_s_Moving_Castle,153157,98017,38594,8107,3427,24199,301302
37868,16793.Stardust,162660,164616,76370,14950,4961,23284,423557
37898,119324.The_Subtle_Knife,175676,153338,68614,15348,5374,12152,418350
37928,68428.The_Final_Empire,345885,172967,43632,8785,4418,42291,575687
37958,14201.Jonathan_Strange_Mr_Norrell,80692,71151,44290,19203,10760,17093,226096
37988,76620.Watership_Down,203564,148617,75397,23232,15432,16244,466242
38018,83346.Through_the_Looking_Glass_and_What_Alice_Found_There,51697,42261,27414,6973,2214,4183,130559
38048,44660.The_Belgariad_Boxed_Set,8246,4579,2217,504,168,290,15714
38078,25224458-the-dry,89,25,17,3,6,32,140
38108,10572.A_Clash_of_Kings,480192,311496,78893,11045,4141,26310,885767
38138,4407.American_Gods,375453,299840,141928,42935,17683,44328,877839
38168,43545.The_Once_and_Future_King,42555,36799,19177,5019,2127,4665,105677
38198,27712.The_Neverending_Story,88638,60209,31349,7410,2858,8636,190464
38228,29127.The_Last_Unicorn,48614,31615,17516,4335,1786,5419,103866
38258,378.The_Phantom_Tollbooth,135281,80816,40636,11712,6218,12394,274663
38288,9539.The_Shadow_Rising,100672,78505,29209,4847,1503,5921,214736
38318,13831.Alanna,63374,40047,17512,3428,1865,5746,126226
38348,13928.Daughter_of_the_Forest,32024,19169,7576,1952,1160,4983,61881
38378,43615.The_Gunslinger,218330,177269,124028,41683,16696,22778,578006
38408,43889.Wizard_s_First_Rule,115111,70496,34783,12502,8823,7261,241715
38438,233649.The_Great_Hunt,134401,109848,37643,7069,2690,8992,291651
38468,34507.Equal_Rites,59102,66778,34565,5440,1750,5799,167635
38498,28876.His_Majesty_s_Dragon,33561,37047,16788,3728,1374,7844,92498
38528,2213661.The_Graveyard_Book,217144,186098,79205,18294,8403,37386,509144
38558,34897.The_Dragon_Reborn,126200,97668,35304,6121,2250,7031,267543
38588,13662.The_Tombs_of_Atuan,41585,42350,19624,3347,1002,4629,107908
38618,6068551-shiver,157691,132903,110782,44872,22825,24350,469073
38648,35231.Lord_of_Chaos,69137,58148,27131,5224,1410,4452,161050
38678,18122.The_Amber_Spyglass,148089,112998,59158,17477,6735,12702,344457
38708,15547.Magic_Kingdom_for_Sale_Sold,11531,13150,9205,2180,486,1301,36552
38738,41424.Beauty,30836,26421,16334,3552,1139,5651,78282
38768,2248573.Brisingr,145537,115223,62927,18209,6442,9976,348338
38798,45978.Eldest,156987,144155,82118,22466,7799,10805,413525
38828,533808.The_Lost_Colony,58532,53401,30621,6997,4135,2211,153686
38858,13837.Lioness_Rampant,44913,27086,11692,2422,1509,1920,87622
38888,44659.Pawn_of_Prophecy,44950,34972,17442,3818,1290,3584,102472
38918,6001758-fire,75438,61260,30565,8315,3464,11566,179042
38948,12067.Good_Omens,340366,210113,91481,23174,10765,34799,675899
38978,259836.Dragons_of_Autumn_Twilight,45923,36477,21405,5919,4071,2728,113795
39008,2767793-the-hero-of-ages,228532,100655,26564,4581,1627,24150,361959
39038,8088.Sunshine,14291,13007,8861,3577,1580,4779,41316
39068,11306.The_Dark_Is_Rising_Sequence,8559,4937,2140,521,227,697,16384
39098,61886.The_Curse_of_Chalion,16320,13463,5538,1372,649,2744,37342
39128,45181.Five_Children_and_It,7987,9101,6424,1659,613,1357,25784
39158,127455.The_Lies_of_Locke_Lamora,143356,85724,29097,8949,5153,18680,272279
39188,14497.Neverwhere,214070,184494,77187,16652,6158,27187,498561
39218,15575.The_Sword_of_Shannara,28667,30280,22341,8254,3985,4616,93527
39248,153795.Squire,26076,16629,7191,1200,453,977,51549
39278,407813.The_Blue_Sword,29782,17349,8964,2402,1189,3193,59686
39308,68429.The_Well_of_Ascension,205770,142429,38997,6022,1720,23271,394938
39338,59219.The_Talisman,54123,38728,21876,5961,1717,4424,122405
39368,43763.Interview_with_the_Vampire,211228,191175,112323,29768,10496,14006,554990
39398,10611.The_Eyes_of_the_Dragon,40471,43277,28255,6910,1838,5896,120751
39428,68427.Elantris,100171,90808,33853,6318,3156,15501,234306
39458,92121.Nine_Princes_in_Amber,22954,17942,9977,2993,1221,2287,55087
39488,7235533-the-way-of-kings,312425,81775,18556,4851,3260,29252,420867
39518,225038.Half_Magic,12466,13106,8600,1851,741,1814,36764
39548,5094.The_Drawing_of_the_Three,110174,92662,34503,6624,1982,9462,245945
39578,68806.The_Elenium,2827,1851,938,217,48,126,5881
39608,116563.So_You_Want_to_Be_a_Wizard,8741,8687,6336,2014,896,1269,26674
39638,64207.Sorcery_Cecelia,6756,7953,3909,788,306,2314,19712
39668,13895.The_Fires_of_Heaven,73659,65735,27734,4886,1358,4830,173372
39698,74270.Luck_in_the_Shadows,8192,7599,3596,887,333,1406,20607
39728,91981.The_Dragonbone_Chair,24490,24134,13754,3961,1804,2525,68143
39758,13497.A_Feast_for_Crows,294189,249005,123929,23947,5301,23294,696371
39788,10400575-witch-song,1498,1773,1418,540,253,703,5482
39818,944073.The_Blade_Itself,94155,83780,28422,6744,3173,13137,216274
39848,10664113-a-dance-with-dragons,321089,207096,73737,14261,4431,23603,620614
39878,30036.Elric_of_Melnibon_,7880,10020,6221,1566,460,1343,26147
39908,6101718-the-magicians,57760,80076,69585,31948,14995,24126,254364
39938,448873.The_Thief,24728,29696,19686,5212,2094,9595,81416
39968,82192.The_Crystal_Cave,18061,16799,8053,1418,354,1951,44685
39998,6381205-soulless,35426,39501,22278,6546,3857,10878,107608
40028,86238.The_Enchanted_Forest_Chronicles,6437,2880,876,147,54,459,10394
40058,1444859.First_King_of_Shannara,10281,10428,6788,1440,478,634,29415
40088,48002.Thief_of_Time,32067,24875,9644,1385,500,1991,68471
40118,9822.Mrs_Frisby_and_the_Rats_of_NIMH,74857,61449,30064,5483,2139,4289,173992
40148,25159239-the-girl-with-ghost-eyes,1219,1601,980,271,88,731,4159
40178,104089.Tigana,20036,15081,7384,2416,1254,3076,46171
40208,772961.The_Druid_of_Shannara,11250,12267,6991,1198,270,335,31976
40238,39058.The_Gormenghast_Novels,3930,2705,1436,586,404,687,9061
40268,5199022-cut-run,10488,7553,3950,1469,936,2817,24396
40298,6382879-zero-at-the-bone,5345,4029,1920,630,329,1464,12253
40328,6430659-tigers-and-devils,3208,2669,1450,385,154,807,7866
40358,10506237-hot-head,6805,6130,3437,1117,560,2225,18049
40388,9578482-fish-chips,7866,4071,1210,192,51,1244,13390
40418,7314827-sticks-stones,7325,4797,1512,235,61,1319,13930
40448,628283.Bareback,1548,1273,650,232,181,468,3884
40478,7544649-keeping-promise-rock,2553,1837,862,255,117,582,5624
40508,6782412-warrior-s-cross,2789,3338,1862,449,141,865,8579
40538,7016638-shades-of-gray,2298,2156,1082,315,125,619,5976
40568,12156759-bear-otter-and-the-kid,6290,4134,1746,609,317,1789,13096
40598,13246997-armed-dangerous,7411,3367,979,162,77,1139,11996
40628,14061520-stars-stripes,7415,2739,722,117,46,1144,11039
40658,11193668-the-locker-room,2888,2108,980,309,158,761,6443
40688,6708511-special-forces,1318,303,130,43,50,236,1844
40718,2536103.Caught_Running,2649,3353,1881,488,137,780,8508
40748,13420351-shattered-glass,3937,3197,1553,548,260,1330,9495
40778,12669411-divide-conquer,7126,3848,1015,133,44,1125,12166
40808,11277601-life-lessons,1810,2478,1130,182,52,641,5652
40838,10835196-between-sinners-and-saints,1986,1655,749,190,83,611,4663
40868,13159887-latakia,1693,1059,405,153,95,472,3405
40898,2403922.My_Fair_Captain,1824,1708,943,328,210,488,5013
40928,11488260-dance-with-me,1837,2374,1270,278,67,747,5826
40958,8578296-making-promises,1434,1124,472,100,23,291,3153
40988,10213367-something-like-summer,4668,3285,1902,705,343,1376,10903
41018,3212989-a-red-tainted-silence,359,235,137,55,37,136,823
41048,6617506-bloodraven,1710,1328,617,229,224,484,4108
41078,7697602-special-delivery,1812,1840,939,265,139,716,4995
41108,5522148-mexican-heat,1425,1433,764,177,113,322,3912
41138,12045922-breaking-cover,1680,1679,532,79,26,419,3996
41168,8164566-evenfall,2658,1406,615,234,203,562,5116
41198,13504389-chase-in-shadow,1863,1389,603,204,107,614,4166
41228,14792052-who-we-are,4348,2089,612,147,72,812,7268
41258,6003542-camp-hell,2366,1750,549,63,27,456,4755
41288,8501043-finding-zach,1575,1781,914,279,103,497,4652
41318,613268.The_God_Eaters,1456,1008,516,152,94,314,3226
41348,2261145.Bondage,760,556,282,68,54,137,1720
41378,28734.Magic_s_Price,10591,6451,3105,611,176,445,20934
41407,6330560-drawn-together,1392,1644,972,326,196,520,4530
41437,7052147-conquest,751,696,339,101,47,247,1934
41467,4801582-faith-fidelity,3449,3990,1984,513,174,994,10110
41497,13600507-downtime,795,722,346,100,53,371,2016
41527,239092.Almost_Like_Being_in_Love,1631,1248,737,210,87,590,3913
41557,8495535-a-russian-bear,487,722,398,113,67,174,1787
41587,17258293-strength-of-the-pack,1649,1347,590,181,63,544,3830
41617,9688919-ghostv,2199,1532,481,51,16,459,4279
41647,8393603-prey,673,791,324,119,59,325,1966
41677,74275.Stalking_Darkness,6911,5326,2052,373,97,731,14759
41707,17277854-the-student-prince,2532,1335,509,176,138,631,4690
41737,7132358-dynasty-of-ghosts,522,531,272,103,56,135,1484
41767,18043694-double-blind,954,1006,476,125,34,416,2595
41797,9959170-the-heart-of-texas,2018,2167,1273,410,156,676,6024
41827,8748031-counterpoint,1040,1203,798,325,170,393,3536
41857,31546390-in-vogue,90,48,41,13,7,38,199
41887,3322012-the-archer,311,345,223,93,59,136,1031
41917,881851.A_Strong_and_Sudden_Thaw,340,350,224,88,37,109,1039
41947,6513184-kei-s-gift,452,406,246,85,63,118,1252
41977,7142600-admit-one,347,397,221,51,21,164,1037
42007,14769258-sidecar,1249,821,299,61,25,357,2455
42037,6112351-whistling-in-the-dark,546,470,209,40,18,188,1283
42067,13411825-burn,531,381,268,93,55,229,1328
42097,67700.The_Persian_Boy,4076,3272,1487,298,90,702,9223
42127,2612238-heroes-ghosts,323,292,130,30,19,72,794
42157,6320476-when-irish-eyes-are-sparkling,224,200,82,30,14,62,550
42187,9564239-rescue-me,404,536,391,142,91,191,1564
42217,67699.The_Charioteer,2310,1816,925,240,100,572,5391
42247,8262408-dark-horse,1018,1214,623,147,86,466,3088
42277,7844441-slow-bloom,256,276,164,59,22,150,777
42307,13570707-the-only-gold,555,534,247,58,15,240,1409
42337,7186426-cethe,428,429,292,126,86,121,1361
42367,12743591-unacceptable-risk,509,847,413,105,30,280,1904
42397,9212008-trust-me,771,545,331,108,67,168,1822
42427,11399815-yakuza-pride,444,503,247,88,39,208,1321
42457,11864480-dirty-kiss,1633,1608,908,236,80,612,4465
42487,8782738-lord-of-the-white-hell-book-2,1799,1496,637,142,49,331,4123
42517,9501249-breathe,742,983,419,97,33,317,2274
42547,7743539-no-fear,504,434,173,35,8,116,1154
42577,6787048-dash-and-dingo,165,222,118,29,17,83,551
42607,3386492-prisoner,1020,1015,526,174,80,242,2815
42637,7461076-high-fidelity,457,349,98,19,6,86,929
42667,17194490-tell-me-it-s-real,3972,2360,986,270,166,1397,7754
42697,60814.Brethren,528,318,165,56,50,139,1117
42727,426545.Details_of_the_Hunt,347,372,211,83,44,105,1057
42757,8088305-snowflakes-and-embers,449,368,179,53,28,98,1077
42787,47588.Drawing_Blood,4093,3294,2025,595,214,416,10221
42817,11611689-falling-off-the-face-of-the-earth,543,554,228,49,24,153,1398
42847,11023754-kindred-hearts,525,565,334,119,35,267,1578
42877,6477531-out-of-position,538,261,117,52,19,112,987
42907,15841201-tigerland,1249,1147,421,75,20,366,2912
42937,9266052-cover-me,470,922,556,116,27,229,2091
42967,3876546-the-archer-s-heart,351,231,131,51,35,73,799
42997,119015.Desert_Sons,663,388,312,79,52,61,1494
43027,13510735-houseboat-on-the-nile,703,804,406,118,82,306,2113
43057,6581714-lords-of-kellesborne,488,413,190,45,15,75,1151
43087,17213054-into-this-river-i-drown,1736,1021,506,199,91,737,3553
43117,9788080-stockholm-syndrome,605,407,220,104,97,283,1433
43147,13345731-the-luckiest,639,732,317,57,24,260,1769
43177,12012960-social-skills,1013,1296,756,173,70,376,3308
43207,17660704-texas-pride,2000,1970,881,236,81,619,5168
43237,10150597-where-the-allegheny-meets-the-monongahela,329,540,243,49,17,145,1178
43267,24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,213342,181306,106709,24435,7732,13955,533524
43297,569564.The_Complete_Works,35114,13059,5036,958,714,942,54881
43327,2956.The_Adventures_of_Huckleberry_Finn,376184,425228,307646,90847,33987,18357,1233892
43357,5297.The_Picture_of_Dorian_Gray,555317,490494,234077,54382,18256,55793,1352526
43387,17245.Dracula,435121,409412,240661,59009,21800,38851,1166003
43417,18373.Flowers_for_Algernon,272774,210195,96608,21459,6575,27799,607611
43447,4934.The_Brothers_Karamazov,171588,83055,34537,8938,3891,16164,302009
43477,23919.The_Complete_Stories_and_Poems,137315,73150,26982,4790,2371,2168,244608
43507,1420.Hamlet,344896,298752,177344,48155,16353,18493,885500
43537,3836.Don_Quixote,88614,79907,57644,18434,7148,10818,251747
43567,30119.Where_the_Sidewalk_Ends,744535,358772,166594,38620,22960,12008,1331481
43597,92303.The_Importance_of_Being_Earnest,150667,127590,56309,11106,3547,12417,349219
43627,13079982-fahrenheit-451,793257,781761,441451,124937,54245,65286,2195651
43657,21348.Aesop_s_Fables,46392,43446,27368,4626,1088,2531,122920
43687,1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,429525,539385,320542,84107,31430,52039,1404989
43717,15823480-anna-karenina,338813,260083,136237,40644,18996,31745,794773
43747,24583.The_Adventures_of_Tom_Sawyer,292469,319572,205747,50609,19023,12555,887420
43777,338798.Ulysses,45688,31093,24153,11535,9757,8631,122226
43807,264158.The_Raven,66376,41822,18172,3543,1074,3261,130987
43837,2696.The_Canterbury_Tales,43806,65804,69027,25101,8985,4028,212723
43867,18048422-the-hobbit-the-lord-of-the-rings,90904,25764,7364,1660,1085,2096,126777
43897,22917.The_Complete_Grimm_s_Fairy_Tales,76326,49543,22416,3452,1241,2963,152978
43927,16304.Murder_on_the_Orient_Express,227516,222152,85056,12487,2926,35217,550137
43957,3685.Black_Beauty,101227,85064,60680,14923,5027,6223,266921
43987,930.Memoirs_of_a_Geisha,822399,680550,318854,71384,29326,34099,1922513
44017,18131.A_Wrinkle_in_Time,460028,358002,222655,71029,36742,37606,1148456
44047,864565.L_tranger,348068,347801,184149,49425,17891,38092,947334
44077,5759.Fight_Club,248536,200685,83932,18862,7093,18886,559108
44107,6304154-lolita,276933,258971,165583,56437,30973,34358,788897
44137,9572776-outlander,545515,248239,116651,42865,31433,51378,984703
44167,191940.The_Man_Without_Qualities,1711,829,394,128,52,284,3114
44197,831874.The_Left_Hand_of_Darkness,63553,59183,27771,7184,2248,13248,159939
44227,19330.The_Complete_Tales,37200,17223,8525,1547,723,608,65218
44257,8852.Macbeth,275107,290239,194537,54663,18271,16926,832817
44287,51496.Dr_Jekyll_and_Mr_Hyde,136101,201181,144588,30184,6649,19507,518703
44317,6656.The_Divine_Comedy,58536,46935,26818,6992,2453,5364,141734
44347,61975.Dragonflight,55829,44476,24824,5936,2423,3946,133488
44377,143534.The_Gift_of_the_Magi,37712,31641,17602,3637,1108,2416,91700
44407,2175.Madame_Bovary,81109,105153,83461,29056,11290,14354,310069
44437,18490.Frankenstein,460959,503837,346568,104794,41201,51585,1457359
44467,6620596-the-art-of-war-by-sun-tzu,156368,149968,101669,24363,7004,16344,439372
44497,196970.The_Night_Before_Christmas,71181,27985,14952,3164,1448,2695,118730
44527,93405.The_Notebooks_of_Malte_Laurids_Brigge,3065,2750,1669,586,168,583,8238
44557,2165.The_Old_Man_and_the_Sea,336451,342720,239798,87130,45737,34575,1051836
44587,135479.Cat_s_Cradle,160250,143217,61993,12543,4016,13672,382019
44617,93.Heidi,72823,63434,43225,9445,2558,5426,191485
44647,12749.Swann_s_Way,26909,16282,7992,3038,1717,4743,55938
44677,436982.Notes_from_the_Underground,56529,46150,20023,4535,1673,9618,128910
44707,92307.Being_and_Time,10145,7021,4147,1278,811,736,23402
44737,46306.The_Complete_Fairy_Tales,53485,33685,15858,2390,797,735,106215
44767,32508.The_Black_Echo,73582,73150,29696,5424,3584,5585,185436
44797,49350.The_Concrete_Blonde,25053,28810,9439,910,293,2828,64505
44827,32501.Echo_Park,20796,25943,9284,925,261,2351,57209
44857,762806.Gorky_Park,23101,26720,13101,2443,854,1373,66219
44887,49353.The_Last_Coyote,29941,30811,9386,940,296,2443,71374
44917,24244.The_Black_Ice,26650,34393,14106,1534,376,2889,77059
44947,32502.Angels_Flight,22291,25184,8052,888,289,2247,56704
44977,76867.A_Darkness_More_Than_Night,20829,23767,9141,1183,345,2162,55265
45007,409918.The_Narrows,20021,24524,8476,873,255,2144,54149
45037,13148.Kiss_the_Girls,124376,114147,64732,15643,10975,4015,329873
45067,84777.City_of_Bones,17576,24099,9000,983,254,2155,51912
45097,20359284-handy-man,1819,1911,1008,285,151,300,5174
45127,935308.Faceless_Killers,17193,28458,19589,4728,1612,3796,71580
45157,37301.Rules_of_Prey,33425,31316,14045,2695,1567,2660,83048
45187,634407.Knots_and_Crosses,12645,20380,13376,2741,996,2510,50138
45217,32263.The_Surgeon,61329,56025,26927,5800,3021,5285,153102
45247,58962.Trunk_Music,25130,28702,9668,950,258,1975,64708
45277,11082037-the-drop,24206,28273,9394,1049,315,3382,63237
45307,84785.The_Overlook,13629,19633,10477,1544,302,2221,45585
45337,126507.Lost_Light,22533,25097,8485,855,288,2068,57258
45367,3080212-heat-lightning,11063,11319,4515,669,239,1077,27805
45397,32506.The_Poet,41243,37521,13665,2185,815,3788,95429
45427,2459785.In_the_Woods,100693,144161,91403,27432,11707,25993,375396
45457,867387.The_Blessing_Way,8243,9990,5147,835,254,1322,24469
45487,7936809-the-reversal,26554,30783,10560,1119,306,3779,69322
45517,2761626-the-brass-verdict,27368,33696,10893,1037,298,4103,73292
45547,13145.Along_Came_a_Spider,182372,160001,78692,14851,6454,6219,442370
45577,13421993-atlas,325,295,111,53,48,14,832
45591,77489.The_Black_Book,4002,6552,2998,438,186,597,14176
45621,6413193-nine-dragons,15985,20284,9478,1661,416,3003,47824
45651,927672.The_Laughing_Policeman,2930,4080,1887,365,122,695,9384
45681,336237.The_Falls,4309,6285,2489,418,152,567,13653
45711,867100.In_the_Electric_Mist_With_Confederate_Dead,3997,3988,1627,270,97,506,9979
45741,21717.Triptych,30645,34337,12701,2227,1182,4565,81092
45771,6433836-rough-country,9554,9771,3695,465,153,1120,23638
45801,13137.1st_to_Die,135905,111072,60603,12969,6121,7464,326670
45831,31366.Deception_on_His_Mind,4033,5491,2232,307,112,483,12175
45861,7713965-bad-blood,12469,11663,4230,636,247,1356,29245
45891,21704.The_Black_Dahlia,24479,31808,22554,6696,2948,2979,88485
45921,37303.Silent_Prey,9044,10664,4232,493,145,645,24578
45951,1070480.The_Closers,19045,23445,8188,840,252,2104,51770
45981,8578294-bury-your-dead,37431,28827,7354,1066,439,6724,75117
46011,227729.The_Coffin_Dancer,20098,20302,8345,1129,497,1378,50371
46041,68768.Black_and_Blue,5671,7518,2834,428,195,635,16646
46071,425164.Cop_Hater,1882,2851,1992,409,136,524,7270
46101,9440448-buried-prey,16169,14537,4924,652,241,1476,36523
46131,32257.The_Sinner,19381,22253,9281,1104,315,2027,52334
46161,32258.Body_Double,21426,22467,8641,1093,345,2058,53972
46191,59917933-the-blue-bar,668,907,690,172,78,332,2515
46221,44783.Monkeewrench,4955,5301,2029,448,180,1116,12913
46251,77490.Hide_and_Seek,4953,9476,5961,874,316,919,21580
46281,904488.Resurrection_Men,4197,5801,2424,363,165,527,12950
46311,38833078-next-girl-to-die,2345,2629,1521,394,184,489,7073
46341,9925913-shock-wave,9381,9875,3237,386,144,1226,23023
46371,9681098-the-fifth-witness,28259,30266,10114,1119,362,3651,70120
46401,37304.Winter_Prey,19206,16933,6208,664,228,799,43239
46431,940536.Red_Dragon,115964,121910,59908,11746,5559,6694,315087
46461,76909.Last_Bus_to_Woodstock,4241,5883,3771,904,286,955,15085
46491,142540.The_Empty_Chair,10172,12427,5644,844,298,1077,29385
46521,168569.Sudden_Prey,8137,9109,3187,341,117,591,20891
46551,6878614-storm-prey,8536,8815,3337,436,140,1021,21264
46581,168568.Naked_Prey,8285,8218,2635,291,94,639,19523
46611,205650.Fleshmarket_Close,3822,5895,2533,392,150,469,12792
46641,482889.Sleepyhead,4691,6675,4036,1110,420,887,16932
46671,3522419-nemesis,21332,31606,14551,2596,1081,3147,71166
46701,109901.The_Cold_Dish,14247,16231,5966,1132,526,4229,38102
46731,113002.In_the_Bleak_Midwinter,4160,6404,3345,728,303,1713,14940
46761,988950.Dark_of_the_Moon,12930,14691,7411,1527,988,1653,37547
46791,32254.The_Mephisto_Club,14729,17188,9056,1560,447,1969,42980
46821,21491.The_Choirboys,2229,2297,1188,251,109,213,6074
46851,715834.The_Apprentice,22398,24996,10420,1367,409,2568,59590
46881,106312.The_Twelfth_Card,5584,7482,4025,642,140,767,17873
46911,37296.Night_Prey,8204,9364,3396,318,100,539,21382
46941,459386.The_Mermaids_Singing,7600,9625,4678,1125,573,1441,23601
46971,13136.2nd_Chance,38296,42115,22569,3297,755,3146,107032
47001,2161735.Child_44,30659,34610,13188,2789,1274,6784,82520
47031,205262.Strip_Jack,3531,6579,3697,494,200,629,14501
47061,7093222-broken,21142,23705,8402,1067,388,2399,54704
47091,9082.In_a_Dry_Season,3703,4316,1664,309,109,570,10101
47121,801180.The_Fool_s_Run,3150,3674,2044,411,128,339,9407
47151,37297.Eyes_of_Prey,10579,11426,4233,474,166,835,26878
47181,1051097.Until_Proven_Guilty,4318,5139,3056,587,231,880,13331
47211,13593555-mad-river,9253,9602,3338,383,150,1364,22726
47241,3825.Death_in_Holy_Orders,4608,6781,3722,737,289,873,16137
47271,12930038-bad-intent-volume-1,273,273,102,65,50,8,763
47279,21445.The_5th_Horseman,25362,28783,14491,2016,437,2162,71089
47309,69807.Set_in_Darkness,3647,5215,2032,302,173,380,11369
47339,58942529-find-me-in-the-dark,171,198,89,22,1,116,481
47369,13132.3rd_Degree,30067,34684,19101,2546,539,2567,86937
47399,85310.Mortal_Prey,8305,8199,2685,276,109,660,19574
47429,2014625.Phantom_Prey,6062,7300,3568,619,206,932,17755
47459,981824.Eleven_Days,563,663,359,120,79,107,1784
47489,31374.A_Great_Deliverance,16573,19368,8618,1769,884,2269,47212
47519,552894.7th_Heaven,22741,24994,11904,1602,377,2143,61618
47549,37298.Mind_Prey,9070,9241,3114,335,127,671,21887
47579,33668.4th_of_July,30153,33876,16930,2223,495,2489,83677
47609,511993.Mortal_Causes,3474,5642,2592,414,143,483,12265
47639,41831210-pestilence,24375,22757,14278,4874,2287,8110,68571
47669,26185583-barbarian-lover,10948,14823,10755,1930,322,3475,38778
47699,23127048-air-awakens,17052,18269,8614,2410,1050,5121,47395
47729,20504754-transcendence,9628,6332,3591,1388,758,3527,21697
47759,25802043-barbarian-alien,13974,19441,14962,3596,851,5445,52824
47789,53697329-a-trial-of-sorcerers,2196,2057,890,204,64,785,5411
47819,26570784-barbarian-mine,9634,12478,8876,1798,291,2626,33077
47849,59082794-bitches-to-witches,59,22,4,0,0,40,85
47879,44571879-captive-of-the-horde-king,5674,5807,3097,689,311,1527,15578
47909,27228341-land-of-the-beautiful-dead,2541,1319,666,321,212,744,5059
47939,28002882-ice-planet-holiday,4798,5840,5510,1211,168,1162,17527
47969,28096224-barbarian-s-prize,6844,9175,6315,1125,164,1716,23623
47999,30524238-barbarian-s-touch,6429,7280,4378,716,112,1396,18915
48029,29623967-barbarian-s-mate,7614,8954,5816,1011,195,1755,23590
48059,73086.Kiss_an_Angel,29122,18629,9003,2566,1218,4858,60538
48089,31818909-barbarian-s-taming,6430,6636,3635,577,121,1312,17399
48119,39778773-boys-of-brayshaw-high,15767,8437,4038,1476,893,2936,30611
48149,63273800-the-cavalier,38,16,9,0,0,50,63
48179,55032825-a-fairy-awesome-story,173,90,77,38,26,49,404
48209,36050260-stolen-by-an-alien,3304,2709,1693,534,262,916,8502
48239,15765699-haze,2149,2067,794,152,55,433,5217
48269,49390139-war,14092,12413,6678,1706,553,3882,35442
48299,32602258-barbarian-s-heart,4868,5512,3759,809,114,1121,15062
48329,57304929-fairy-fairy-quite-contrary,121,32,18,2,6,23,179
48352,56483061-gild,20351,29759,27253,7896,2808,9123,88067
48382,56652791-the-fairiest-fairy-of-them-all,139,40,22,3,4,19,208
48401,56124048-the-fairy-next-book,137,50,35,9,7,19,238
48420,33858773-fire-in-his-blood,4553,5677,5201,1665,468,1682,17564
48450,18616975-off-to-be-the-wizard,12775,15215,7515,1888,611,3068,38004
48480,55677811-i-am-lilith,69,25,15,6,5,55,120
48510,10859509-altered,7104,7245,4022,952,296,2261,19619
48540,33014223-barbarian-s-hope,4362,4539,3381,649,106,954,13037
48570,57758114-fairy-dead,50,30,11,2,1,11,94
